#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
674954,944467,cap,TVVIIgp2,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180816,-
674954,944468,pol,TVVIIgp1,-,-,-,-,RNA-dependent RNA polymerase,protein-coding,-,-,-,RNA-dependent RNA polymerase,20180816,-
674954,9697839,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Trichomonas vaginalis virus II).,other,-,-,-,-,20200513,-
